postal_code,ward_name
M6H,Davenport
M6J,Davenport
M4X,Toronto Centre
M2J,Don Valley North
M5G,University-Rosedale
M4W,Toronto Centre
M4Y,Toronto Centre
M2H,Don Valley North
M4X,Toronto Centre
M8Z,Etobicoke-Lakeshore
M5A,Toronto Centre
M4X,Toronto Centre
M8V,Etobicoke-Lakeshore
M4M,Toronto-Danforth
M4X,Toronto Centre
M8X,Etobicoke Centre
M1L,Scarborough Southwest
M6J,Davenport
M6J,University-Rosedale
M4R,Eglinton-Lawrence
M6J,Spadina-Fort York
M6N,Davenport
M6R,Parkdale-High Park
M8Y,Etobicoke-Lakeshore
M9B,Etobicoke-Lakeshore
M2L,Don Valley West
M1T,Scarborough-Agincourt
M5A,Toronto Centre
M4G,Don Valley West
M5J,Spadina-Fort York
M2N,Willowdale
M5V,Spadina-Fort York
M6J,Spadina-Fort York
M5T,Spadina-Fort York
M8Z,Etobicoke-Lakeshore
M3H,York Centre
M5J,Spadina-Fort York
M4J,Toronto-Danforth
M4L,Beaches-East York
M1E,Scarborough-Guildwood
M5S,University-Rosedale
M6J,Spadina-Fort York
M6B,Eglinton-Lawrence
M5V,Spadina-Fort York
M5V,Spadina-Fort York
M5A,Toronto Centre
M5R,University-Rosedale
M6B,Eglinton-Lawrence
M5V,Spadina-Fort York
M2M,Willowdale
M1L,Scarborough Southwest
M6G,Toronto-St. Paul's
M6E,Eglinton-Lawrence
M5A,Toronto Centre
M4L,Toronto-Danforth
M3L,Humber River-Black Creek
M6E,Davenport
M5B,Toronto Centre
M5R,University-Rosedale
M5R,University-Rosedale
M6H,Davenport
M5V,Spadina-Fort York
M8W,Etobicoke-Lakeshore
M2N,Willowdale
M6G,University-Rosedale
M9B,Etobicoke-Lakeshore
M4J,Toronto-Danforth
M5J,Spadina-Fort York
M1P,Scarborough Centre
M6G,Toronto-St. Paul's
M5J,Spadina-Fort York
M1N,Scarborough Southwest
M4S,Toronto-St. Paul's
M6G,Toronto-St. Paul's
M6J,Davenport
M9W,Etobicoke North
M1V,Scarborough North
M5V,Spadina-Fort York
M6R,Parkdale-High Park
M4Y,Toronto Centre
M6P,Parkdale-High Park
M8V,Etobicoke-Lakeshore
M2L,Don Valley West
M5A,Toronto Centre
M4C,Beaches-East York
M1N,Scarborough Southwest
M2N,Willowdale
M9P,Etobicoke Centre
M4Y,Toronto Centre
M5B,Toronto Centre
M6M,York South-Weston
M4M,Toronto-Danforth
M1R,Scarborough Centre
M5S,Toronto Centre
M6A,Eglinton-Lawrence
M1B,Scarborough-Rouge Park
M6H,Davenport
M1N,Scarborough Southwest
M6H,Davenport
M1P,Scarborough Centre
M6R,Parkdale-High Park
M5A,Toronto Centre
