X_id,operator_registration_number,postal_code,ward_number,ward_name
1708455,STR-2204-GWPVHH,M4Y,13,Toronto Centre
1708456,STR-2012-FRPHHC,M6H,9,Davenport
1708457,STR-2108-HQPPHK,M4N,15,Don Valley West
1708458,STR-2203-GGMPHF,M5S,13,Toronto Centre
1708459,STR-2009-GFFXPF,M2H,17,Don Valley North
1708460,STR-2207-HLYPHK,M5A,13,Toronto Centre
1708461,STR-2208-JGQBHM,M4X,13,Toronto Centre
1708462,STR-2208-HZWBHM,M8V,3,Etobicoke-Lakeshore
1708463,STR-2009-FVFXPD,M8Z,3,Etobicoke-Lakeshore
1708464,STR-2011-FYHDVD,M9C,2,Etobicoke Centre
1708465,STR-2012-JCSXVM,M5V,10,Spadina-Fort York
1708466,STR-2009-GCXPBF,M1L,20,Scarborough Southwest
1708467,STR-2009-GLDPBG,M6J,9,Davenport
1708468,STR-2009-GTKPBH,M6J,11,University-Rosedale
1708469,STR-2009-HJXPBK,M4R,8,Eglinton-Lawrence
1708470,STR-2009-HSDPBL,M6J,10,Spadina-Fort York
1708471,STR-2009-HZKPBM,M6N,9,Davenport
1708472,STR-2009-FFFVBB,M6R,4,Parkdale-High Park
1708473,STR-2009-GCYVBF,M8Y,3,Etobicoke-Lakeshore
1708474,STR-2009-HSFVBL,M9B,3,Etobicoke-Lakeshore
1708475,STR-2009-HZLVBM,M2L,15,Don Valley West
1708476,STR-2009-FFWHBB,M1T,22,Scarborough-Agincourt
1708477,STR-2009-FPCHBC,M5A,13,Toronto Centre
1708478,STR-2009-GDQHBF,M4G,15,Don Valley West
1708479,STR-2009-GLWHBG,M5J,10,Spadina-Fort York
1708480,STR-2009-GVCHBH,M2N,18,Willowdale
1708481,STR-2009-GFFVBF,M5V,10,Spadina-Fort York
1708482,STR-2009-GMLVBG,M6J,10,Spadina-Fort York
1708483,STR-2009-GVSVBH,M5T,10,Spadina-Fort York
1708484,STR-2009-FHCHBB,M8Z,3,Etobicoke-Lakeshore
1708485,STR-2009-GWJHBH,M3H,6,York Centre
1708486,STR-2009-HLWHBK,M5J,10,Spadina-Fort York
1708487,STR-2009-FHSVBB,M4J,14,Toronto-Danforth
1708488,STR-2009-FQYVBC,M4L,19,Beaches-East York
1708489,STR-2009-GGLVBF,M1E,24,Scarborough-Guildwood
1708490,STR-2009-GPSVBG,M5S,11,University-Rosedale
1708491,STR-2009-HMLVBK,M6J,10,Spadina-Fort York
1708492,STR-2009-FYWHBD,M6B,8,Eglinton-Lawrence
1708493,STR-2009-GHCHBF,M5V,10,Spadina-Fort York
1708494,STR-2009-HPCHBK,M5V,10,Spadina-Fort York
1708495,STR-2009-HWJHBL,M5A,13,Toronto Centre
1708496,STR-2009-JDQHBM,M5R,11,University-Rosedale
1708497,STR-2009-GYFVBH,M6B,8,Eglinton-Lawrence
1708498,STR-2009-HWYVBL,M5V,10,Spadina-Fort York
1708499,STR-2009-JFFVBM,M2M,18,Willowdale
1708500,STR-2009-FKQHBB,M1L,20,Scarborough Southwest
1708501,STR-2009-FSWHBC,M6G,12,Toronto-St. Paul's
1708502,STR-2009-GJJHBF,M6E,8,Eglinton-Lawrence
1708503,STR-2009-GRQHBG,M5A,13,Toronto Centre
1708504,STR-2009-GYWHBH,M4L,14,Toronto-Danforth
1708505,STR-2009-HQJHBK,M3L,7,Humber River-Black Creek
1708506,STR-2009-HXQHBL,M6E,9,Davenport
1708507,STR-2009-JFWHBM,M5B,13,Toronto Centre
1708508,STR-2009-FLFVBB,M5R,11,University-Rosedale
1708509,STR-2009-GBSVBD,M5R,11,University-Rosedale
1708510,STR-2009-FDQKPB,M6H,9,Davenport
1708511,STR-2009-FLWKPC,M5V,10,Spadina-Fort York
1708512,STR-2009-GCJKPF,M8W,3,Etobicoke-Lakeshore
1708513,STR-2009-GSWKPH,M2N,18,Willowdale
